"","FollowNumber","Name","Age","Sex","DiversityScore"
"363",3393,"misha",5,"F",1.51627175818195
"364",2553,"misha",5,"F",1.41227611012433
"365",2549,"misha",5,"F",1.59096464291154
"366",2464,"misha",5,"F",1.61990700381195
"367",2258,"misha",4,"F",1.77351154746024
"368",3825,"misha",6,"F",1.26743708671715
"369",2391,"misha",4,"F",1.25755293260441
"370",3264,"misha",5,"F",1.31711291898137
"371",2286,"misha",4,"F",1.64297408131204
"372",4063,"misha",6,"F",1.39922649902392
"373",3204,"misha",5,"F",1.88959399207433
"374",2689,"misha",5,"F",1.79799697654779
"375",2397,"misha",5,"F",1.53537096676322
"376",2541,"misha",5,"F",1.13652956540129
"377",3818,"misha",6,"F",1.57564052628787
"378",3863,"misha",6,"F",1.37713039428053
"379",2661,"misha",5,"F",2.02587808197996
"380",2745,"misha",5,"F",1.38398451429525
"381",3148,"misha",5,"F",1.79346422702342
"382",3847,"misha",6,"F",1.97563309028633
"383",3206,"misha",5,"F",1.66185295068863
"384",3696,"misha",6,"F",1.54100507759653
"385",2547,"misha",5,"F",1.75584373669524
"386",1924,"misha",4,"F",1.75686213536205
"387",2399,"misha",5,"F",1.73965817795753
"388",1428,"misha",4,"F",1.70606637939844
"389",1899,"misha",4,"F",1.52750891466801
"390",3030,"misha",5,"F",1.70441251870128
"391",2545,"misha",5,"F",1.5382415163899
"392",1441,"misha",4,"F",1.89926390068094
"393",3538,"misha",6,"F",1.46439667288821
"394",2507,"misha",5,"F",1.93138827536926
"395",760,"misha",3,"F",1.67011588735808
"396",3628,"misha",6,"F",1.96940176123956
"397",2224,"misha",4,"F",1.82005511438592
"398",2465,"misha",5,"F",1.71515117725149
"399",2551,"misha",5,"F",2.07139288455906
"400",2993,"misha",5,"F",2.11258050693593
"401",3611,"misha",6,"F",1.80411310345844
"402",2712,"misha",5,"F",1.42956166028261
"403",1474,"misha",4,"F",1.50893979211352
"404",1947,"misha",4,"F",1.01191253357026
"405",2633,"misha",5,"F",1.42792414000989
"406",3690,"misha",6,"F",1.39940466061272
"407",615,"misha",3,"F",1.56525043436074
"408",2724,"misha",5,"F",2.10404041284978
"409",1538,"misha",4,"F",1.9431117385763
"410",2562,"misha",5,"F",1.84531656932306
"411",2543,"misha",5,"F",1.79794990305343
"412",3565,"misha",6,"F",1.9441056874069
"413",3853,"misha",6,"F",1.69185828438301
"414",1066,"misha",4,"F",2.3727998507825
"415",3549,"misha",6,"F",1.95930518872848
"416",2514,"misha",5,"F",1.73142615691727
"417",3754,"misha",6,"F",1.66743184120213
"418",578,"misha",3,"F",1.73367496619721
"419",738,"misha",3,"F",1.92287794960318
"420",3814,"misha",6,"F",1.61560499832776
"421",857,"misha",3,"F",2.37358837654927
"422",876,"misha",3,"F",1.99910627216479
"423",3669,"misha",6,"F",1.28232501968244
"424",894,"misha",3,"F",2.45286572406738
"425",2537,"misha",5,"F",2.05592608125373
"426",671,"misha",3,"F",1.6831449278888
"427",3545,"misha",6,"F",1.72073846083744
"428",874,"misha",3,"F",2.09310581824918
"429",3310,"misha",5,"F",1.82701953965817
"430",3199,"misha",5,"F",2.06080043719323
"431",3324,"misha",5,"F",1.76107294532867
"432",3751,"misha",6,"F",2.01279591208273
"433",872,"misha",3,"F",2.11041949472919
"434",2700,"misha",5,"F",1.71836741806475
"435",1478,"misha",4,"F",1.79059820842306
"436",1840,"misha",4,"F",2.15259995182806
"437",1769,"misha",4,"F",2.22272971879593
"438",3399,"misha",5,"F",1.78429958262371
"439",617,"misha",3,"F",1.94613061097785
"440",2719,"misha",5,"F",1.8379560349356
"441",2747,"misha",5,"F",1.76148294792761
"442",2599,"misha",5,"F",1.55713264227487
"443",3252,"misha",5,"F",1.63521789762064
"444",1508,"misha",4,"F",1.74612922268563
"445",1886,"misha",4,"F",2.2321053171087
"446",2482,"misha",5,"F",1.62785623879408
"447",2756,"misha",5,"F",1.9737907510135
"448",4323,"misha",6,"F",1.16590632201194
"449",1135,"misha",4,"F",1.80009018679109
"450",1482,"misha",4,"F",1.8441928919139
"451",2024,"misha",4,"F",1.94299516594087
"452",4002,"misha",6,"F",1.50607086387252
"453",4085,"misha",6,"F",1.15436286108109
"454",3181,"misha",5,"F",1.92948727453769
"455",2877,"misha",5,"F",1.85109813831622
"456",1468,"misha",4,"F",2.04832938238673
"457",1809,"misha",4,"F",1.70471058612944
"458",2695,"misha",5,"F",1.16060415224849
"459",1100,"misha",4,"F",2.10957515635833
"460",2266,"misha",4,"F",1.71760271869049
"461",2992,"misha",5,"F",2.28285275817929
"462",3608,"misha",6,"F",1.8682193134211
"463",4325,"misha",6,"F",1.88790468689303
"464",2814,"misha",5,"F",1.81851440618563
"465",859,"misha",3,"F",1.97579202680049
"466",2784,"misha",5,"F",1.71357474593662
"467",675,"misha",3,"F",1.48786533494368
"468",2393,"misha",4,"F",1.93882507009384
"469",2811,"misha",5,"F",2.01509617990648
"470",610,"misha",3,"F",1.94139839103848
"471",3862,"misha",6,"F",2.12618953072746
"472",659,"misha",3,"F",1.76692305868441
"473",900,"misha",3,"F",2.42346877630189
"474",1446,"misha",4,"F",2.11805112934381
"475",1890,"misha",4,"F",1.9754497054191
"476",1470,"misha",4,"F",1.55057512782686
"477",3026,"misha",5,"F",1.51304805873577
"478",3716,"misha",6,"F",1.36727587939897
"479",2862,"misha",5,"F",1.13678457953013
"480",3816,"misha",6,"F",1.56825393226931
"481",2730,"misha",5,"F",1.82764094069802
"482",2640,"misha",5,"F",1.70173547117692
"483",3261,"misha",5,"F",1.78106021087669
"484",862,"misha",3,"F",2.43309660556462
"485",1434,"misha",4,"F",1.77672098984103
"486",2491,"misha",5,"F",1.66693944983579
"487",2676,"misha",5,"F",1.99120354035079
"488",2559,"misha",5,"F",2.137741050348
"489",2799,"misha",5,"F",2.17932279394578
"490",4216,"misha",6,"F",1.81365008121257
"491",3858,"misha",6,"F",1.56387945340164
"492",865,"misha",3,"F",1.74360992726324
"493",2239,"misha",4,"F",1.87079041441766
"494",2461,"misha",5,"F",1.74798712459092
"495",2501,"misha",5,"F",1.55785461699652
"496",1464,"misha",4,"F",2.14050990201087
"497",2453,"misha",5,"F",2.12538340608704
"498",1424,"misha",4,"F",1.83774677728449
"499",3585,"misha",6,"F",1.79925937862146
"500",854,"misha",3,"F",2.02767651921097
"501",3703,"misha",6,"F",1.76374232288778
"502",881,"misha",3,"F",2.489342412851
"503",1436,"misha",4,"F",1.7355964935038
"504",3868,"misha",6,"F",1.69081070400666
"505",2692,"misha",5,"F",2.02930493605428
"506",782,"misha",3,"F",2.29439390280652
"507",2369,"misha",4,"F",1.57330314441616
"508",2449,"misha",5,"F",1.53015415127538
"509",2457,"misha",5,"F",1.42788228627509
"510",2505,"misha",5,"F",1.74776082251692
"511",2533,"misha",5,"F",2.16533806722965
"512",3747,"misha",6,"F",1.57002974546932
"513",2779,"misha",5,"F",1.99168887635731
"514",3845,"misha",6,"F",1.46440563232073
"515",1155,"misha",4,"F",1.9114503419841
"516",2527,"misha",5,"F",1.92480946540142
"517",886,"misha",3,"F",2.06524083060812
"518",2734,"misha",5,"F",1.77232499745025
"519",1407,"misha",4,"F",1.84985492428502
"520",3249,"misha",5,"F",2.13644510877314
"521",2782,"misha",5,"F",2.12868307633011
"522",3723,"misha",6,"F",1.84269294177515
"523",837,"misha",3,"F",1.39488890603928
"524",2161,"misha",4,"F",1.21624645814204
"525",3212,"misha",5,"F",1.65286238628017
"526",2168,"misha",4,"F",2.12607338335141
"527",2709,"misha",5,"F",2.19927455408057
"528",3562,"misha",6,"F",1.65783820992588
"529",2781,"misha",5,"F",1.24927805381751
"530",3039,"misha",5,"F",1.97933067342999
"531",2181,"misha",4,"F",2.13708681057365
"532",3312,"misha",5,"F",2.11033194204902
"533",1823,"misha",4,"F",1.68690746016347
"534",1828,"misha",4,"F",2.45648659815542
"535",2647,"misha",5,"F",1.80740638493095
"536",2103,"misha",4,"F",1.95544896772092
"537",2630,"misha",5,"F",1.27918929837884
"538",3831,"misha",6,"F",1.37281054182113
"539",4257,"misha",6,"F",1.49551477533057
"540",1860,"misha",4,"F",1.57471035044747
"541",869,"misha",3,"F",2.67121325330963
"542",1847,"misha",4,"F",1.84544542318397
"543",1141,"misha",4,"F",2.20275439535775
"544",2797,"misha",5,"F",1.75686393978117
"545",2855,"misha",5,"F",2.1943949983284
"546",3621,"misha",6,"F",1.81634798822867
"547",1421,"misha",4,"F",1.75810421837784
"548",1801,"misha",4,"F",2.0592226400777
"549",1871,"misha",4,"F",2.10620180701919
"550",1958,"misha",4,"F",1.93812920735945
"551",3526,"misha",6,"F",1.7706957599968
"552",2244,"misha",4,"F",1.75980762569749
"553",2437,"misha",5,"F",2.04255531432322
"554",1400,"misha",4,"F",1.64255130619969
"555",1484,"misha",4,"F",2.62510084615098
"556",2183,"misha",4,"F",1.74989577216588
"557",2989,"misha",5,"F",1.544471426435
"558",3280,"misha",5,"F",2.34930549836621
"559",3736,"misha",6,"F",1.85257439490951
"560",1415,"misha",4,"F",2.26731662326778
"561",1459,"misha",4,"F",1.65055440825336
"562",2509,"misha",5,"F",2.00497136482959
"563",3469,"misha",5,"F",1.83110051742277
"564",2609,"misha",5,"F",1.31899506881569
"565",3651,"misha",6,"F",1.50651052075222
"566",3321,"misha",5,"F",2.24605053051135
"567",3146,"misha",5,"F",2.67516667576308
"568",3674,"misha",6,"F",1.73201605700608
"569",1480,"misha",4,"F",1.80251898466535
"570",1942,"misha",4,"F",1.88327016025726
"571",2028,"misha",4,"F",1.80792590165194
"572",4330,"misha",6,"F",1.16629525100571
"573",1905,"misha",4,"F",2.62909035975181
"574",3860,"misha",6,"F",2.10640957445763
"575",2032,"misha",4,"F",1.95801587964777
"576",2169,"misha",4,"F",1.99431765640928
"577",2565,"misha",5,"F",2.09888151407555
"578",1815,"misha",4,"F",1.61757148283702
"579",3535,"misha",6,"F",1.62381811069796
"580",2163,"misha",4,"F",1.86089582284236
"581",892,"misha",3,"F",2.36119567217315
"582",1053,"misha",4,"F",1.17401995954408
"583",2173,"misha",4,"F",1.63795554195812
"584",2849,"misha",5,"F",1.95009075990876
"585",1821,"misha",4,"F",1.89389484037879
"586",1462,"misha",4,"F",1.94913263175928
"587",1952,"misha",4,"F",1.75880129464145
"588",2402,"misha",5,"F",2.08547186969519
